"CUENTO H-ID"	Título	"Año de publicación"	Década	Estética	Longitud
81	"El legajo"	1913	1910	Realismo	1584
82	"Como la luz"	1917	1910	Realismo	1419
83	"El último baile"	1908	1900	Realismo	1248
84	"So tierra"			Realismo	1995
85	Madrugueiro			Realismo	1543
86	"""La Deixada"""	1918	1910	Realismo	1449
87	Antiguamente	1913	1910	Realismo	1719
88	Atavismos	1912	1910	Realismo	1554
89	"En silencio"	1914	1910	Realismo	1751
90	"Bohemia en prosa"	1909	1900	Realismo	1692
91	Reconciliados	1914	1910	Realismo	1633
92	"La salvación de don Carmelo"	1914	1910	Realismo	1708
93	Episodio	1917	1910	Realismo	1511
94	Ofrecido			Realismo	1277
95	"La soledad"			Realismo	1417
96	"Eterna Ley"			Realismo	1513
97	"El escondrijo"	1910	1910	Realismo	1315
98	"Los adorantes"	1904	1900	Realismo	1297
99	"Contra treta..."	1912	1910	Realismo	1578
100	"""Santi Boniti"""	1918	1910	Realismo	1653
101	Responsable	1907	1900	Realismo	1268
102	"El vidrio roto"	1907	1900	Realismo	1321
103	"El invento"	1909	1900	Realismo	1351
104	"La hoz"			Realismo	1940
105	"El sonar del río"	1918	1910	Realismo	1632
106	Racimos			Realismo	1434
107	"La guija"	1903	1900	Realismo	785
108	"El aire cativo"	1918	1910	Realismo	1466
109	"Dios castiga"			Realismo	1621
110	"La ganadera"	1908	1900	Realismo	1189
111	"Por el arte"	1891	1890	Realismo	9393
112	"Morrión y Boina"	1889	1880	Realismo	9215
113	"Las tapias del Campo Santo"	1881	1880	Realismo	3418
114	"El señor doctoral"	1881	1880	Realismo	3187
115	"En el nombre del Padre"	1891	1890	Realismo	3387
116	"El mechón blanco"	1892	1890	Realismo	2001
117	¿Cobardía?	1891	1890	Realismo	2128
118	"El indulto"	1883	1880	Realismo	3049
119	"El rizo del Nazareno"	1880	1880	Realismo	4202
120	Bromita	1905	1900	Realismo	1176
121	Eximente	1905	1900	Realismo	1464
122	"Las vistas"	1901	1900	Realismo	1603
123	"Las caras"	1906	1900	Realismo	1473
124	"Por dentro"	1907	1900	Realismo	1158
125	"La enfermera"	1903	1900	Realismo	1308
126	"La reja"	1903	1900	Realismo	1174
127	"El revólver"	1895	1890	Realismo	1500
128	"El gemelo"	1903	1900	Realismo	1306
129	"De un nido"	1902	1900	Realismo	1245
130	"El quinto"	1903	1900	Realismo	1437
131	"La argolla"	1902	1900	Realismo	1184
132	"El destino"	1902	1900	Realismo	1471
133	"Tío Terrones"	1898	1890	Realismo	1400
134	"Sin respuesta"			Realismo	1309
135	"Un duro falso"	1906	1900	Realismo	1430
136	"Las veintisiete"	1897	1890	Realismo	1485
137	Vocación	1903	1900	Realismo	1215
138	"La bronceada"	1902	1900	Realismo	1603
139	"El gusanillo"	1898	1890	Realismo	2183
140	"El tapiz"	1902	1900	Realismo	1119
141	"Un hallazgo"	1909	1900	Naturalismo	2374
142	"El último león"	1909	1900	Naturalismo	2683
143	"El lujo"	1909	1900	Naturalismo	1111
144	"La rabia"	1909	1900	Naturalismo	3194
145	"El sapo"	1909	1900	Naturalismo	2395
146	Compasión	1909	1900	Naturalismo	2388
147	"El Amor y la Muerte"	1909	1900	Naturalismo	1820
148	"La vejez"	1909	1900	Naturalismo	2102
149	"La madre Tierra"	1909	1900	Naturalismo	2425
150	"Rosas y ruiseñores"	1909	1900	Naturalismo	1736
151	"La casa del labrador"	1909	1900	Naturalismo	1528
152	"¡Cosas de hombres!"	1893		Realismo	2275
153	"La apuesta del esparelló"	1893	1890	Realismo	2333
154	"Noche de bodas"	1893	1890	Realismo	6625
155	"Guapeza valenciana"	1893	1890	Realismo	4034
156	Pipá	1879	1870	Realismo	13483
157	"Amor'è furbo"	1882	1880	Realismo	5664
158	"Mi entierro: Discurso de un loco"	1882	1880	Realismo	3189
159	"Un documento"	1882	1880	Realismo	6746
160	Avecilla	1882	1880	Realismo	9454
162	"El hombre de los estrenos"	1884	1880	Realismo	4927
163	"Las dos cajas"	1883	1880	Realismo	9195
164	Bustamante	1884	1880	Realismo	8324
165	Zurita	1884	1880	Realismo	12816
166	"El Señor"	1892	1890	Realismo	6508
167	"¡Adiós, Cordera!"	1892	1890	Realismo	3457
168	"Cambio de luz"	1893	1890	Realismo	5162
169	"El centauro"	1893	1890	Realismo	1579
170	Rivales	1893	1890	Realismo	4497
171	Protesto	1892	1890	Realismo	2837
172	"La yernocracia"	1893	1890	Realismo	1738
173	"Un viejo verde"	1893	1890	Realismo	2462
174	"Cuento futuro"	1893	1890	Realismo	8473
175	"Un jornalero"	1893	1890	Realismo	3003
176	Benedictino	1893	1890	Realismo	4056
177	"La ronca"	1893	1890	Realismo	3103
178	"La rosa de oro"	1893	1890	Realismo	3550
179	"El cura de Vericueto"	1894	1890	Realismo	13300
180	Boroña	1893	1890	Realismo	1951
181	"La conversión de Chiripa"	1894	1890	Realismo	2970
182	"El número uno"	1895	1890	Realismo	2403
183	"Para vicios"	1894	1890	Realismo	1760
184	"El dúo de la tos"	1894	1890	Realismo	2303
185	Vario	1894	1890	Realismo	2712
186	"La imperfecta casada"	1893	1890	Realismo	2036
187	"Un grabado"	1894	1890	Realismo	3125
188	"El torso"	1894	1890	Realismo	3266
189	Cristales	1893	1890	Realismo	1854
190	"Don Urbano"	1894	1890	Realismo	2505
191	"El frío del Papa"	1894	1890	Realismo	1877
192	"León Benavides"	1893	1890	Realismo	1748
193	"El Quin"	1895	1890	Realismo	6156
194	"La Noche-mala del Diablo"	1894	1890	Realismo	2464
195	Ordalías	1894	1890	Realismo	2797
196	"La trampa"	1895	1890	Realismo	3203
197	"Don Patricio o el premio gordo en Melilla"	1893	1890	Realismo	1444
198	"El sustituto"	1893	1890	Realismo	2526
199	"El señor Isla"	1895	1890	Realismo	1319
200	Snob	1895	1890	Realismo	2122
201	"""Flirtation"" legítima"	1895	1890	Realismo	2345
202	"El caballero de la mesa redonda"	1895	1890	Realismo	8830
203	"La tara"	1895	1890	Realismo	1487
204	"González Bribón"	1895	1890	Realismo	1250
205	"La Reina Margarita"	1895	1890	Realismo	4282
206	"Doña Berta"	1892	1890	Realismo	20209
207	Cuervo	1892	1890	Realismo	8929
208	Superchería	1889	1880	Realismo	17123
209	"El artículo de fondo"	1872	1870	Realismo	5088
210	"La mula y el buey: Cuento de Navidad"	1876	1870	Realismo	4495
211	"La pluma en el viento o El viaje de la vida (Poe)"	1872	1870	Realismo	6533
212	"La conjuración de las palabras"	1868	1860	Realismo	2390
213	"Un tribunal literario"	1872	1870	Realismo	10596
214	"La princesa y el granuja"	1879	1870	Realismo	6102
215	Junio	1876	1870	Realismo	4313
216	"El reloj"	1912	1910	Modernismo	1015
217	"Día campesino"	1912	1910	Modernismo	1926
218	"La fiesta de Nuestro Señor"	1912	1910	Modernismo	2403
219	"Plática de amigos"	1912	1910	Modernismo	1033
220	"La doncellona de oro"	1912	1910	Modernismo	902
221	"Las águilas"	1912	1910	Modernismo	1219
222	"El señor Augusto"	1912	1910	Modernismo	1834
223	"Dos lágrimas"	1912	1910	Modernismo	811
224	"El beso del esposo"	1912	1910	Modernismo	1834
225	"El señor maestro"	1912	1910	Modernismo	1567
226	"La llegada (Años y leguas)"			Modernismo	1250
227	"Crónica de festejos"	1912	1910	Modernismo	1219
228	"El final de mi cuento"	1912	1910	Modernismo	1373
229	"Parábola del pino"	1912	1910	Modernismo	1067
230	"El presagio"	1912	1910	Modernismo	1357
231	"La mirada"	1912	1910	Modernismo	948
232	"Un vagar de Sigüenza"	1912	1910	Modernismo	1450
233	"Notas del mismo"	1912	1910	Modernismo	1472
234	"Los amigos, los amantes y la muerte"	1915	1910	Modernismo	1540
235	"En automóvil"	1915	1910	Modernismo	1000
236	"La vieja y el artista"	1915	1910	Modernismo	1430
237	"La niña del cuévano"	1915	1910	Modernismo	1603
238	"El favor de Su Majestad (Capítulo de una crónica)"	1915	1910	Modernismo	1777
239	"El rápido París-Orán"	1915	1910	Modernismo	1519
240	"Las hermanas"	1915	1910	Modernismo	1481
241	"Martín, concejal"	1915	1910	Modernismo	987
242	"Filósofo y casado"	1915	1910	Modernismo	1870
243	Paisaje	1915	1910	Modernismo	955
244	"El poeta eterno"	1915	1910	Modernismo	1053
245	"El molino"	1921	1920	Modernismo	394
246	"La aldea"	1921	1920	Modernismo	545
247	"Un camino y el niño del maíz"	1921	1920	Modernismo	583
248	"El águila y el pastor"	1921	1920	Modernismo	976
249	"Las campanas"	1921	1920	Modernismo	999
250	"El Ángel"	1921	1920	Modernismo	1687
251	"El cadáver del príncipe"	1921	1920	Modernismo	1826
252	"La cabeza de piedra, su alma y la gloria"	1921	1920	Modernismo	1358
253	"El agua y la infanta"	1921	1920	Modernismo	1158
254	"El río y él"	1921	1920	Modernismo	1053
255	"El mar: el barco"	1921	1920	Modernismo	945
256	"El desierto"	1921	1920	Modernismo	869
257	"Los cuervos"	1921	1920	Modernismo	764
258	"La del alba"	1921	1920	Modernismo	845
259	"Alas y hombres blancos"	1921	1920	Modernismo	1003
260	"La selva"	1921	1920	Modernismo	1226
261	"La aparición"	1921	1920	Modernismo	1090
262	"La playa"	1921	1920	Modernismo	1113
263	"El Sicilia"	1921	1920	Modernismo	1131
264	"El caracol"	1921	1920	Modernismo	1140
266	"El beso en la moneda"	1928	1920	Modernismo	1208
267	"Pueblo, Parral. Perfección"	1928	1920	Modernismo	1975
268	"Tocan a muerto"	1928	1920	Modernismo	1786
269	"Doña Elisa y la eternidad"	1928	1920	Modernismo	2605
270	Gitanos	1928	1920	Modernismo	2355
271	"El señor vicario y Manihuel"	1928	1920	Modernismo	2401
272	"Huerto de cruces"	1928	1920	Modernismo	3000
273	"Benidorm. Un extranjero. Callosa"	1928	1920	Modernismo	1895
274	"Sábado de luna"	1928	1920	Modernismo	1850
276	"Lectura y corro"	1928	1920	Modernismo	2133
277	"Los bravos roders"	1928	1920	Modernismo	1822
278	"Grandes señores"	1928	1920	Modernismo	2631
280	"El cantarero y la fuente"	1928	1920	Modernismo	1191
281	Leyenda	1928	1920	Modernismo	1138
282	Realidad	1928	1920	Modernismo	1765
284	Bolulla	1928	1920	Modernismo	570
285	Tárbena	1928	1920	Modernismo	718
286	"Ecos vírgenes"	1928	1920	Modernismo	888
287	Toponimia	1928	1920	Modernismo	630
288	"Sigüenza y Sigüenza"	1928	1920	Modernismo	625
289	"El lugar hallado"	1928	1920	Modernismo	1438
290	"Una familia de luto"	1928	1920	Modernismo	3243
291	"Bardells y la familia de luto"	1928	1920	Modernismo	1992
292	"El barranco. Ifach"	1928	1920	Modernismo	2756
293	"Calpe. Excursionismo"	1928	1920	Modernismo	2016
295	"La tarde"	1928	1920	Modernismo	1697
296	"San Francisco, el Señor y Agustina"	1928	1920	Modernismo	1621
297	"Poco a poco se quedó sorda"	1928	1920	Modernismo	1770
298	"La besana"	1928	1920	Modernismo	1764
299	Tabalet	1928	1920	Modernismo	2555
301	"Sigüenza y él"	1928	1920	Modernismo	2108
302	"Sigüenza y el Paraíso"	1928	1920	Modernismo	2024
303	"Después del Paraíso"	1928	1920	Modernismo	1468
304	"Sigüenza y otros"	1928	1920	Modernismo	1950
305	"Sigüenza, incendio y término"	1928	1920	Modernismo	1755
306	"De Patricio Rigüelta redivivo a Gildo, “el letrado” su hijo en Coteruco"	1882	1880	Realismo	2655
307	"Agosto: Bucólica montañesa"	1890	1890	Realismo	7103
308	"El óbolo de un pobre"	1906	1900	Realismo	1195
309	Cutres	1906	1900	Realismo	7189
310	"Por lo que valga"	1890	1890	Realismo	2081
311	"El reo de P..."	1898	1890	Realismo	5778
312	"La lima de los deseos: Apuntes de mi cartera"	1900	1900	Realismo	1949
313	"Va de cuento"		1860	Realismo	2141
314	Esbozo	1892	1890	Realismo	4148
315	"De mis recuerdos"	1900	1900	Realismo	1660
316	"A Marcelino Menéndez y Pelayo: De cómo se celebran todavía las bodas en cierta comarca montañesa, enclavada en un repliegue de lo más enriscado de la cordillera cantábrica"	1899	1890	Realismo	1497
317	"Ver con los ojos"	1886	1880	"Generación del 98"	2436
318	"""Solitaña"""	1888	1880	"Generación del 98"	3253
319	"Las tijeras"	1889	1880	"Generación del 98"	1663
320	"El desquite"	1891	1890	"Generación del 98"	1048
321	"La sangre de Aitor"	1891	1890	"Generación del 98"	2190
322	"Chimbos y chimberos"	1892	1890	"Generación del 98"	4213
323	"San Miguel de Basauri en el arenal de Bilbao"	1892	1890	"Generación del 98"	2293
324	"El semejante"	1895	1890	"Generación del 98"	1320
325	Sueño	1897	1890	"Generación del 98"	982
326	"Una visita al viejo poeta"	1899	1890	"Generación del 98"	1817
327	"El abejorro"	1900	1900	"Generación del 98"	1348
328	"Don Martín, o de la gloria"	1900	1900	"Generación del 98"	1734
329	"El maestro de Carrasqueda"	1903	1900	"Generación del 98"	1708
330	"La locura del Doctor Montarco"			"Generación del 98"	4829
331	"Y va de cuento"	1913	1910	"Generación del 98"	1679
332	"El canto adánico"	1906	1900	"Generación del 98"	1386
333	"La beca"			"Generación del 98"	2388
334	"Don Catalino, hombre sabio"	1915	1910	"Generación del 98"	1292
335	"La revolución de la biblioteca de Ciudámuerta"	1917	1910	"Generación del 98"	1290
336	"Al pie de una encina"	1934	1930	"Generación del 98"	1141
337	"La condesa de Cela"	1893	1890	Modernismo	5736
338	"Tula Varona"	1893	1890	Modernismo	3553
339	"Octavia Santino"	1892	1890	Modernismo	3012
340	"La niña Chole"	1893	1890	Modernismo	7120
341	"La Generala"	1892	1890	Modernismo	2590
342	Rosarito	1894	1890	Modernismo	5512
343	"Juan Quinto"	1903	1900	Modernismo	908
344	"La adoración de los Reyes"	1902	1900	Modernismo	948
345	"El miedo"	1903	1900	Modernismo	1269
346	"Tragedia de ensueño"	1903	1900	Modernismo	1483
347	Beatriz	1903	1900	Modernismo	3907
348	"Un cabecilla"	1903	1900	Modernismo	1091
349	"La misa de San Electus"	1903	1900	Modernismo	933
350	"El rey de la máscara"	1903	1900	Modernismo	1596
351	"Mi hermana Antonia"	1903	1900	Modernismo	5261
352	"Del misterio"	1903	1900	Modernismo	1173
353	"A media noche"	1889	1880	Modernismo	1113
354	"Mi bisabuelo"	1903	1900	Modernismo	1670
355	"Comedia de ensueño"	1905	1900	Modernismo	1633
356	"Milón de la Arnoya"	1903	1900	Modernismo	1176
357	"Un ejemplo"	1903	1900	Modernismo	1320
358	Nochebuena	1903	1900	Modernismo	808
359	Oración	1905	1900	Modernismo	56
360	Rosita	1903	1900	Modernismo	4957
361	Eulalia	1903	1900	Modernismo	5182
362	Augusta	1903	1900	Modernismo	4362
363	"La compasión"				1256
364	"La llegada (del Huerto Provinciano)"				1428
